doi,paper_link,materials_link,full_doi,short_description,crossref_broken,manual_citation
10.1162/OPMI_a_00013,,,https://doi.org/10.1162/OPMI_a_00013,,,
10.1177/2515245919900809,,,https://doi.org/10.1177/2515245919900809,,x,"ManyBabies Consortium. (2020). Quantifying sources of variability in infancy research using the infant-directed-speech preference. Advances in Methods and Practices in Psychological Science, 3(1), 24-52."
http://dx.doi.org/10.1017/S0305000913000068,,,https://dx.doi.org/10.1017/S0305000913000068,,,
10.1037/cap0000216,,,https://doi.org/10.1037/cap0000216,,,
10.1080/10489223.2010.509268 ,,,https://doi.org/10.1080/10489223.2010.509268 ,,,
10.1080/15475441.2016.1171771,,,https://doi.org/10.1080/15475441.2016.1171771,,,
10.1111/infa.12182,,,https://doi.org/10.1111/infa.12182,,,
10.1162/OPMI_a_00013,,,https://doi.org/10.1162/OPMI_a_00013,,,
10.1177/2515245918797607,,,https://doi.org/10.1177/2515245918797607,,,
10.1177/2515245918815849,,,https://doi.org/10.1177/2515245918815849,,,
10.1177/2515245920974622,,,https://doi.org/10.1177/2515245920974622,,,
10.2989/16073610609486426,,,https://doi.org/10.2989/16073610609486426,,,
